"tweet_id","in_reply_to_status_id","in_reply_to_user_id","timestamp","source","text","retweeted_status_id","retweeted_status_user_id","retweeted_status_timestamp","expanded_urls"
"551106901464080385","","","2015-01-02 20:04:59 +0000","<a href=""https://tools.wmflabs.org/anon/"" rel=""nofollow"">anon-wikipedia</a>","Lamar Alexander Wikipedia article edited by Therequiembellishere http://t.co/0twi1vGRQ2","","","","http://en.wikipedia.org/w/index.php?diff=640696550&oldid=640374637"
"551104905843208195","","","2015-01-02 19:57:03 +0000","<a href=""https://tools.wmflabs.org/anon/"" rel=""nofollow"">anon-wikipedia</a>","Lamar S. Smith Wikipedia article edited by Therequiembellishere http://t.co/vAfPuSRNId","","","","http://en.wikipedia.org/w/index.php?diff=640695621&oldid=640036583"
"551101281616809984","","","2015-01-02 19:42:39 +0000","<a href=""https://tools.wmflabs.org/anon/"" rel=""nofollow"">anon-wikipedia</a>","Steve Scalise Wikipedia article edited by Nomoskedasticity http://t.co/vgsHDNnzdd","","","","http://en.wikipedia.org/w/index.php?diff=640693995&oldid=640691839"
"551096588022845441","","","2015-01-02 19:24:00 +0000","<a href=""https://tools.wmflabs.org/anon/"" rel=""nofollow"">anon-wikipedia</a>","Steve Scalise Wikipedia article edited by Scalhotrod http://t.co/Mv6JqpgWzD","","","","http://en.wikipedia.org/w/index.php?diff=640691839&oldid=640690963"
"551096238968668160","","","2015-01-02 19:22:36 +0000","<a href=""https://tools.wmflabs.org/anon/"" rel=""nofollow"">anon-wikipedia</a>","Harry Reid Wikipedia article edited by Atakuzier http://t.co/UpLmi8KmNN","","","","http://en.wikipedia.org/w/index.php?diff=640691676&oldid=640512817"
"551094971756191746","","","2015-01-02 19:17:34 +0000","<a href=""https://tools.wmflabs.org/anon/"" rel=""nofollow"">anon-wikipedia</a>","Steve Scalise Wikipedia article edited by Gaijin42 http://t.co/SVyWudbDGb","","","","http://en.wikipedia.org/w/index.php?diff=640690963&oldid=640688396"
"551091450432458752","","","2015-01-02 19:03:35 +0000","<a href=""https://tools.wmflabs.org/anon/"" rel=""nofollow"">anon-wikipedia</a>","Spencer Bachus Wikipedia article edited by Therequiembellishere http://t.co/w06vgpaeyH","","","","http://en.wikipedia.org/w/index.php?diff=640689133&oldid=639644405"
"551090075732566017","","","2015-01-02 18:58:07 +0000","<a href=""https://tools.wmflabs.org/anon/"" rel=""nofollow"">anon-wikipedia</a>","Steve Scalise Wikipedia article edited by Capitalismojo http://t.co/2gYKplMxHp","","","","http://en.wikipedia.org/w/index.php?diff=640688396&oldid=640681067"
"551089167602843648","","","2015-01-02 18:54:30 +0000","<a href=""https://tools.wmflabs.org/anon/"" rel=""nofollow"">anon-wikipedia</a>","Tom Petri Wikipedia article edited by Therequiembellishere http://t.co/4zI9133PJf","","","","http://en.wikipedia.org/w/index.php?diff=640687936&oldid=637168461"
"551086433495449600","","","2015-01-02 18:43:39 +0000","<a href=""https://tools.wmflabs.org/anon/"" rel=""nofollow"">anon-wikipedia</a>","Ron Barber Wikipedia article edited by Therequiembellishere http://t.co/zbMueGEuWA","","","","http://en.wikipedia.org/w/index.php?diff=640686619&oldid=639141353"
"551084500147793921","","","2015-01-02 18:35:58 +0000","<a href=""https://tools.wmflabs.org/anon/"" rel=""nofollow"">anon-wikipedia</a>","Dan Maffei Wikipedia article edited by Therequiembellishere http://t.co/FxillQG5SW","","","","http://en.wikipedia.org/w/index.php?diff=640685667&oldid=635113256"
"551082280689893376","","","2015-01-02 18:27:08 +0000","<a href=""https://tools.wmflabs.org/anon/"" rel=""nofollow"">anon-wikipedia</a>","John F. Tierney Wikipedia article edited by Therequiembellishere http://t.co/yCDcUOsn7Q","","","","http://en.wikipedia.org/w/index.php?diff=640684573&oldid=638882335"
"551081375118663680","","","2015-01-02 18:23:33 +0000","<a href=""https://tools.wmflabs.org/anon/"" rel=""nofollow"">anon-wikipedia</a>","Carolyn McCarthy Wikipedia article edited by Therequiembellishere http://t.co/X5EPtss3br","","","","http://en.wikipedia.org/w/index.php?diff=640684110&oldid=637988769"
"551079966990151680","","","2015-01-02 18:17:57 +0000","<a href=""https://tools.wmflabs.org/anon/"" rel=""nofollow"">anon-wikipedia</a>","Mike McIntyre Wikipedia article edited by Therequiembellishere http://t.co/IdVWWnch6T","","","","http://en.wikipedia.org/w/index.php?diff=640683271&oldid=636838820"
"551078544739414017","","","2015-01-02 18:12:18 +0000","<a href=""https://tools.wmflabs.org/anon/"" rel=""nofollow"">anon-wikipedia</a>","Jim Moran Wikipedia article edited by Therequiembellishere http://t.co/pd1ChZt8ka","","","","http://en.wikipedia.org/w/index.php?diff=640682556&oldid=636176686"
"551076394504323074","","","2015-01-02 18:03:45 +0000","<a href=""https://tools.wmflabs.org/anon/"" rel=""nofollow"">anon-wikipedia</a>","Ed Pastor Wikipedia article edited by Therequiembellishere http://t.co/XTEzagJrLz","","","","http://en.wikipedia.org/w/index.php?diff=640681519&oldid=637221086"
"551074533256724480","","","2015-01-02 17:56:21 +0000","<a href=""https://tools.wmflabs.org/anon/"" rel=""nofollow"">anon-wikipedia</a>","Steve Scalise Wikipedia article edited by Nomoskedasticity http://t.co/zP52rcKRLx","","","","http://en.wikipedia.org/w/index.php?diff=640680617&oldid=640660622"
